Brand,Model,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price,
Dell,Dell Inspiron 15 3505,AMD Ryzen 7,8GB,512GB SSD,"15.6""",Windows 10,AMD,2.25,2,142000.00,
Dell,DELL INSPIRON 5406,Intel Core i7,8GB,512GB SSD,"14.0""",Windows 10,NVIDIA GeForce,1.9,2,205000.00,
Dell,DELL INSPIRON 7306,Intel Core i5,8GB,512GB SSD,"13.3""",Windows 10,Intel ,1.9,2,220000.00,
Dell,Dell XPS 9700,Intel Core i7,16GB,1TB SSD,"15.6"" ",Windows 10,4GB GeForce RTX 3050Ti,1.96,2,520000.00,
Lenovo,Lenovo IdeaPad Flex 5 ,AMD Ryzen 5,8GB,512GB SSD,"14.0""",Windows 10,AMD,1.75,2,220000.00,
Lenovo,Lenovo IdeaPad Slim 5,AMD Ryzen 7,16GB,512GB SSD,"16.0""",Windows 11,4GB RTX 1650 NVIDIA GeForce,1.9,2,330000.00,
Lenovo,Lenovo IdeaPad Gaming 3,AMD Ryzen 7,16GB,512GB SSD,"15.6""",Windows 10,4GB RTX 3050 NVIDIA GeForce,2.25,2,325000.00,
Lenovo,Lenovo IdeaPad Slim 5,AMD Ryzen 5,16GB,512GB SSD,"14.0""",Windows 11,AMD,1.6,2,235000.00,
Lenovo,Lenovo IdeaPad Gaming 3,AMD Ryzen 5,8GB,256GB SSD + 1TB,"15.6""",Windows 10,4GB NVIDIA GeForce,2,2,249000.00,
Lenovo,Lenovo IdeaPad 3,Intel Core i5,8GB,1TB,"15.6""",Windows 11,Intel ,1.6,2,145000.00,
Lenovo,Lenovo V15 G2,Intel Core i5,8GB ,1TB,"15.6""",Windows 10,Intel ,1.6,3,180000.00,
Lenovo,Lenovo Legion 5,AMD Ryzen 7,16GB,1TB SSD,"16.0""",Windows 10,6GB RTX 3060 NVIDIA GeForce,2.54,2,450000.00,
Lenovo,Lenovo Legion 5 - 15ACH6H,AMD Ryzen 7,16GB,1TB SSD,"15.6""",Windows 10,6GB RTX 3060 NVIDIA GeForce,2.98,2,428000.00,
Lenovo,Lenovo Legion 7,AMD Ryzen 9,32GB,1TB SSD,"16.0""",Windows 11 ,16GB RTX 3080 NVIDIA GeForce,3.2,2,760000.00,
Lenovo,Lenovo Legion 5,AMD Ryzen 7,32GB,1TB SSD,"16.0""",Windows 11,8GB RTX 3070 NVIDIA GeForce,2.9,2,540000.00,
MSI,MSI GF63 Thin 11UC,Tiger Lake i5,8GB,512GB SSD,"15.6""",Windows 11,4GB RTX 3050 NVIDIA GeForce,1.9,2,265000.00,
