Model,Brand,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price
Inspiron 5767,Dell,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,"17.3""",Linux,AMD Radeon R7 M445,2.83,2,#REF!
ThinkPad T470p,Lenovo,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,"14.0""",Windows,Nvidia GeForce GT 940MX,1.96,2,#REF!
K556UR-DM621T (i7-7500U/8GB/256GB/GeForce,Asus,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"15.6""",Windows,Nvidia GeForce GTX 930MX,2.3,2,#REF!
Latitude 5580,Dell,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,"15.6""",Windows,Intel HD Graphics 620,1.9,3,#REF!
X541NA (N4200/4GB/1TB/W10),Asus,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 505,2,2,#REF!
EliteBook x360,HP,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.28,2,#REF!
Inspiron 5368,Dell,Intel Core i5 6200U 2.3GHz,8GB,1TB HDD,"13.3""",Windows,Intel HD Graphics 520,1.62,2,#REF!
IdeaPad 110-15ISK,Lenovo,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,"15.6""",No OS,Intel HD Graphics 520,2.2,2,#REF!
ThinkPad E570,Lenovo,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 620,2.3,2,#REF!
EliteBook 850,HP,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,"15.6""",Windows,AMD Radeon R7 M465,1.84,2,#REF!
Portege X30-D-10X,Toshiba,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.05,2,#REF!
Legion Y520-15IKBN,Lenovo,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,"15.6""",No OS,Nvidia GeForce GTX 1050,2.5,2,#REF!
XPS 13,Dell,Intel Core i7 7660U 2.5GHz,16GB,512GB SSD,"13.3""",Windows,Intel Iris Plus Graphics 640,1.29,2,#REF!
Probook 450,HP,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 520,2.07,2,#REF!
Portégé Z30-C-188,Toshiba,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.2,2,#REF!
ThinkPad Yoga,Lenovo,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.37,2,#REF!
TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10),Acer,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.56,2,#REF!
Precision 3520,Dell,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,"15.6""",Windows,Nvidia Quadro M620,2.23,2,#REF!
ThinkPad L570,Lenovo,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 620,2.38,2,#REF!
IdeaPad 110-15ISK,Lenovo,Intel Core i3 6006U 2GHz,4GB,1TB HDD,"15.6""",No OS,AMD Radeon R5 M430,2.2,2,#REF!
Tecra A50-D-11D,Toshiba,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,2,2,#REF!
